year,country,industry,action,asset,data_type,data_stolen
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2003,CA,621491,"['misuse', 'social']",S - Unknown,['Medical'],Yes
2013,US,524114,['unknown'],M - Documents,['Medical'],Potentially
2015,US,561450,['hacking'],S - Database,['Personal'],Yes
2014,AT,813940,['hacking'],Unknown,[],
2013,US,524114,['unknown'],M - Documents,['Medical'],Yes
2011,US,923140,['error'],M - Documents,['Unknown'],Yes
2010,US,622110,['physical'],U - Laptop,['Medical'],Potentially
2012,US,621111,['physical'],U - Laptop,['Unknown'],Potentially
2013,US,622110,['misuse'],M - Documents,['Personal'],Yes
2015,CA,62111,['error'],M - Flash drive,['Personal'],Potentially
2013,US,621111,['error'],M - Documents,"['Medical', 'Personal']",Potentially
2011,US,813410,['hacking'],S - Web application,['Unknown'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2013,US,721110,['physical'],T - Kiosk,['Payment'],Yes
2014,US,923140,['error'],M - Documents,['Unknown'],Yes
2007,IE,622110,['physical'],S - Database,['Medical'],Potentially
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2015,NZ,620111,['misuse'],S - Database,['Medical'],Yes
2011,US,511210,['hacking'],S - Web application,['Personal'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2015,US,622110,['misuse'],S - Database,['Payment'],Yes
2017,US,447110,['physical'],T - Gas terminal,['Payment'],Potentially
2011,GB,921110,['error'],M - Documents,['Personal'],Yes
2015,AU,485112,['error'],Unknown,['Other'],Yes
2012,US,451211,['hacking'],S - Web application,"['Credentials', 'Payment', 'Personal']",Yes
2023,US,52523,"['hacking', 'malware']",S - File,['Personal'],Yes
2012,GB,515120,['hacking'],Unknown,['Classified'],Unknown
2013,US,561499,['error'],S - Unknown,[],
2018,US,621111,['error'],M - Documents,['Medical'],Potentially
2014,US,621111,['physical'],U - Unknown,['Medical'],Potentially
2013,US,921110,['error'],U - Desktop,['Personal'],Yes
2019,US,454110,"['hacking', 'malware']",S - Code repository,"['Payment', 'Personal']",Yes
2013,TW,541810,['hacking'],Unknown,['Credentials'],Potentially
2018,GB,517,['error'],S - Database,['Personal'],Yes
2013,SG,921110,['hacking'],S - Web application,[],
2012,US,624110,['physical'],U - Desktop,['Medical'],Potentially
2020,BR,622110,['misuse'],M - Documents,['Medical'],Yes
2016,US,525110,['error'],M - Documents,['Personal'],Yes
2013,US,922140,['physical'],U - Unknown,['Personal'],Yes
2010,US,621111,['physical'],U - Laptop,['Medical'],Potentially
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2011,US,621111,['unknown'],M - Documents,['Medical'],Potentially
